Lexus GS//2002 г., 3 л., автомат/седан, бензин/руль справа, 185 000 км/"https://im.mashina.kg/tachka/images//a/e/2/ae261b65037427dfb0cc33b1ac27facd_240x180.jpg"
Kia K5 II//2016 г., 1.7 л., робот/седан, дизель/руль слева, 77 000 км/"https://im.mashina.kg/tachka/images//7/3/1/73183cde4f47c8632872849853024023_240x180.jpg"
Volkswagen Passat (North America)//2016 г., 1.8 л., робот/седан, бензин/руль слева, 130 000 км/"https://im.mashina.kg/tachka/images//a/8/8/a8864da4aae035ab8664df8df0dcfd47_240x180.jpg"
Ford Maverick//2002 г., 3 л., автомат/внедорожник 5 дв., бензин/руль слева, 240 000 км/"https://im.mashina.kg/tachka/images//7/9/d/79dc3b0fbf2e2bd45d6f2ba2721c4ef5_240x180.jpg"
Mercedes-Benz E-класс//2000 г., 4.3 л., автомат/седан, бензин/руль слева/"https://im.mashina.kg/tachka/images//5/2/4/524ca3bf3b3664070395b51e7b0e3ac8_240x180.jpg"
Honda Odyssey//2002 г., 2.3 л., автомат/минивэн, бензин/руль справа/"https://im.mashina.kg/tachka/images//0/3/d/03dd4b11791a8d05218e2719dbdf611d_240x180.jpg"
Hyundai Sonata//2015 г., 2.4 л., автомат/седан, бензин/руль слева, 54 000 км/"https://im.mashina.kg/tachka/images//a/f/f/aff3b05d625a1207e23e8f0c4213d6fe_240x180.jpg"
Lexus LX//2005 г., 4.7 л., автомат/внедорожник 5 дв., бензин/руль слева, 200 000 км/"https://im.mashina.kg/tachka/images//0/3/5/035736730f379019a62c45cd490883fc_240x180.jpg"
Toyota Kluger//2005 г., 3 л., автомат/внедорожник 5 дв., бензин/руль справа, 200 000 км/"https://im.mashina.kg/tachka/images//8/d/e/8de4abd7c4275e0b1eed4a346d7363fa_240x180.jpg"
Lexus ES//2013 г., 3.5 л., автомат/седан, бензин/руль слева/"https://im.mashina.kg/tachka/images//9/3/0/930ac7b1a129a18ac6120af9ea3baad5_240x180.jpg"
Mazda 6//2003 г., 1.8 л., механика/седан, бензин/руль слева, 240 000 км/"https://im.mashina.kg/tachka/images//f/3/1/f31c9511ef0db78d5ac76268606a6f8b_240x180.jpg"
ВАЗ (Lada) 2121 (4x4) Нива//2021 г., 1.7 л., механика/внедорожник 3 дв., бензин/руль слева   новый/"https://im.mashina.kg/tachka/images//4/e/c/4ec3243abffbbbbd286ae2231db1ad36_240x180.jpg"
Renault Duster//2021 г., 1.3 л., вариатор/внедорожник 5 дв., бензин/руль слева   новый/"https://im.mashina.kg/tachka/images//4/b/3/4b30307c5c56d9b9557415cd8292316e_240x180.jpg"
Toyota Land Cruiser Prado//2003 г., 2.7 л., механика/внедорожник 5 дв., бензин/руль слева, 500 000 км/"https://im.mashina.kg/tachka/images//c/f/5/cf5b06636f4306f3609bee85615d0536_240x180.jpg"
Lexus GS//2002 г., 3 л., автомат/седан, бензин/руль справа, 185 000 км/"https://im.mashina.kg/tachka/images//a/e/2/ae261b65037427dfb0cc33b1ac27facd_240x180.jpg"
Kia K5 II//2016 г., 1.7 л., робот/седан, дизель/руль слева, 77 000 км/"https://im.mashina.kg/tachka/images//7/3/1/73183cde4f47c8632872849853024023_240x180.jpg"
Volkswagen Passat (North America)//2016 г., 1.8 л., робот/седан, бензин/руль слева, 130 000 км/"https://im.mashina.kg/tachka/images//a/8/8/a8864da4aae035ab8664df8df0dcfd47_240x180.jpg"
Ford Maverick//2002 г., 3 л., автомат/внедорожник 5 дв., бензин/руль слева, 240 000 км/"https://im.mashina.kg/tachka/images//7/9/d/79dc3b0fbf2e2bd45d6f2ba2721c4ef5_240x180.jpg"
Mercedes-Benz E-класс//2000 г., 4.3 л., автомат/седан, бензин/руль слева/"https://im.mashina.kg/tachka/images//5/2/4/524ca3bf3b3664070395b51e7b0e3ac8_240x180.jpg"
Honda Odyssey//2002 г., 2.3 л., автомат/минивэн, бензин/руль справа/"https://im.mashina.kg/tachka/images//0/3/d/03dd4b11791a8d05218e2719dbdf611d_240x180.jpg"
Hyundai Sonata//2015 г., 2.4 л., автомат/седан, бензин/руль слева, 54 000 км/"https://im.mashina.kg/tachka/images//a/f/f/aff3b05d625a1207e23e8f0c4213d6fe_240x180.jpg"
Lexus LX//2005 г., 4.7 л., автомат/внедорожник 5 дв., бензин/руль слева, 200 000 км/"https://im.mashina.kg/tachka/images//0/3/5/035736730f379019a62c45cd490883fc_240x180.jpg"
Toyota Kluger//2005 г., 3 л., автомат/внедорожник 5 дв., бензин/руль справа, 200 000 км/"https://im.mashina.kg/tachka/images//8/d/e/8de4abd7c4275e0b1eed4a346d7363fa_240x180.jpg"
Lexus ES//2013 г., 3.5 л., автомат/седан, бензин/руль слева/"https://im.mashina.kg/tachka/images//9/3/0/930ac7b1a129a18ac6120af9ea3baad5_240x180.jpg"
Mazda 6//2003 г., 1.8 л., механика/седан, бензин/руль слева, 240 000 км/"https://im.mashina.kg/tachka/images//f/3/1/f31c9511ef0db78d5ac76268606a6f8b_240x180.jpg"
ВАЗ (Lada) 2121 (4x4) Нива//2021 г., 1.7 л., механика/внедорожник 3 дв., бензин/руль слева   новый/"https://im.mashina.kg/tachka/images//4/e/c/4ec3243abffbbbbd286ae2231db1ad36_240x180.jpg"
Renault Duster//2021 г., 1.3 л., вариатор/внедорожник 5 дв., бензин/руль слева   новый/"https://im.mashina.kg/tachka/images//4/b/3/4b30307c5c56d9b9557415cd8292316e_240x180.jpg"
Toyota Land Cruiser Prado//2003 г., 2.7 л., механика/внедорожник 5 дв., бензин/руль слева, 500 000 км/"https://im.mashina.kg/tachka/images//c/f/5/cf5b06636f4306f3609bee85615d0536_240x180.jpg"
Lexus GS//2002 г., 3 л., автомат/седан, бензин/руль справа, 185 000 км/"https://im.mashina.kg/tachka/images//a/e/2/ae261b65037427dfb0cc33b1ac27facd_240x180.jpg"
Kia K5 II//2016 г., 1.7 л., робот/седан, дизель/руль слева, 77 000 км/"https://im.mashina.kg/tachka/images//7/3/1/73183cde4f47c8632872849853024023_240x180.jpg"
Volkswagen Passat (North America)//2016 г., 1.8 л., робот/седан, бензин/руль слева, 130 000 км/"https://im.mashina.kg/tachka/images//a/8/8/a8864da4aae035ab8664df8df0dcfd47_240x180.jpg"
Ford Maverick//2002 г., 3 л., автомат/внедорожник 5 дв., бензин/руль слева, 240 000 км/"https://im.mashina.kg/tachka/images//7/9/d/79dc3b0fbf2e2bd45d6f2ba2721c4ef5_240x180.jpg"
Mercedes-Benz E-класс//2000 г., 4.3 л., автомат/седан, бензин/руль слева/"https://im.mashina.kg/tachka/images//5/2/4/524ca3bf3b3664070395b51e7b0e3ac8_240x180.jpg"
Honda Odyssey//2002 г., 2.3 л., автомат/минивэн, бензин/руль справа/"https://im.mashina.kg/tachka/images//0/3/d/03dd4b11791a8d05218e2719dbdf611d_240x180.jpg"
Hyundai Sonata//2015 г., 2.4 л., автомат/седан, бензин/руль слева, 54 000 км/"https://im.mashina.kg/tachka/images//a/f/f/aff3b05d625a1207e23e8f0c4213d6fe_240x180.jpg"
Lexus LX//2005 г., 4.7 л., автомат/внедорожник 5 дв., бензин/руль слева, 200 000 км/"https://im.mashina.kg/tachka/images//0/3/5/035736730f379019a62c45cd490883fc_240x180.jpg"
Toyota Kluger//2005 г., 3 л., автомат/внедорожник 5 дв., бензин/руль справа, 200 000 км/"https://im.mashina.kg/tachka/images//8/d/e/8de4abd7c4275e0b1eed4a346d7363fa_240x180.jpg"
Lexus ES//2013 г., 3.5 л., автомат/седан, бензин/руль слева/"https://im.mashina.kg/tachka/images//9/3/0/930ac7b1a129a18ac6120af9ea3baad5_240x180.jpg"
Mazda 6//2003 г., 1.8 л., механика/седан, бензин/руль слева, 240 000 км/"https://im.mashina.kg/tachka/images//f/3/1/f31c9511ef0db78d5ac76268606a6f8b_240x180.jpg"
ВАЗ (Lada) 2121 (4x4) Нива//2021 г., 1.7 л., механика/внедорожник 3 дв., бензин/руль слева   новый/"https://im.mashina.kg/tachka/images//4/e/c/4ec3243abffbbbbd286ae2231db1ad36_240x180.jpg"
Renault Duster//2021 г., 1.3 л., вариатор/внедорожник 5 дв., бензин/руль слева   новый/"https://im.mashina.kg/tachka/images//4/b/3/4b30307c5c56d9b9557415cd8292316e_240x180.jpg"
Toyota Land Cruiser Prado//2003 г., 2.7 л., механика/внедорожник 5 дв., бензин/руль слева, 500 000 км/"https://im.mashina.kg/tachka/images//c/f/5/cf5b06636f4306f3609bee85615d0536_240x180.jpg"
Lexus GS//2002 г., 3 л., автомат/седан, бензин/руль справа, 185 000 км/"https://im.mashina.kg/tachka/images//a/e/2/ae261b65037427dfb0cc33b1ac27facd_240x180.jpg"
Kia K5 II//2016 г., 1.7 л., робот/седан, дизель/руль слева, 77 000 км/"https://im.mashina.kg/tachka/images//7/3/1/73183cde4f47c8632872849853024023_240x180.jpg"
Volkswagen Passat (North America)//2016 г., 1.8 л., робот/седан, бензин/руль слева, 130 000 км/"https://im.mashina.kg/tachka/images//a/8/8/a8864da4aae035ab8664df8df0dcfd47_240x180.jpg"
Ford Maverick//2002 г., 3 л., автомат/внедорожник 5 дв., бензин/руль слева, 240 000 км/"https://im.mashina.kg/tachka/images//7/9/d/79dc3b0fbf2e2bd45d6f2ba2721c4ef5_240x180.jpg"
Mercedes-Benz E-класс//2000 г., 4.3 л., автомат/седан, бензин/руль слева/"https://im.mashina.kg/tachka/images//5/2/4/524ca3bf3b3664070395b51e7b0e3ac8_240x180.jpg"
Honda Odyssey//2002 г., 2.3 л., автомат/минивэн, бензин/руль справа/"https://im.mashina.kg/tachka/images//0/3/d/03dd4b11791a8d05218e2719dbdf611d_240x180.jpg"
Hyundai Sonata//2015 г., 2.4 л., автомат/седан, бензин/руль слева, 54 000 км/"https://im.mashina.kg/tachka/images//a/f/f/aff3b05d625a1207e23e8f0c4213d6fe_240x180.jpg"
Lexus LX//2005 г., 4.7 л., автомат/внедорожник 5 дв., бензин/руль слева, 200 000 км/"https://im.mashina.kg/tachka/images//0/3/5/035736730f379019a62c45cd490883fc_240x180.jpg"
Toyota Kluger//2005 г., 3 л., автомат/внедорожник 5 дв., бензин/руль справа, 200 000 км/"https://im.mashina.kg/tachka/images//8/d/e/8de4abd7c4275e0b1eed4a346d7363fa_240x180.jpg"
Lexus ES//2013 г., 3.5 л., автомат/седан, бензин/руль слева/"https://im.mashina.kg/tachka/images//9/3/0/930ac7b1a129a18ac6120af9ea3baad5_240x180.jpg"
Mazda 6//2003 г., 1.8 л., механика/седан, бензин/руль слева, 240 000 км/"https://im.mashina.kg/tachka/images//f/3/1/f31c9511ef0db78d5ac76268606a6f8b_240x180.jpg"
ВАЗ (Lada) 2121 (4x4) Нива//2021 г., 1.7 л., механика/внедорожник 3 дв., бензин/руль слева   новый/"https://im.mashina.kg/tachka/images//4/e/c/4ec3243abffbbbbd286ae2231db1ad36_240x180.jpg"
Renault Duster//2021 г., 1.3 л., вариатор/внедорожник 5 дв., бензин/руль слева   новый/"https://im.mashina.kg/tachka/images//4/b/3/4b30307c5c56d9b9557415cd8292316e_240x180.jpg"
Toyota Land Cruiser Prado//2003 г., 2.7 л., механика/внедорожник 5 дв., бензин/руль слева, 500 000 км/"https://im.mashina.kg/tachka/images//c/f/5/cf5b06636f4306f3609bee85615d0536_240x180.jpg"
Lexus GS//2002 г., 3 л., автомат/седан, бензин/руль справа, 185 000 км/"https://im.mashina.kg/tachka/images//a/e/2/ae261b65037427dfb0cc33b1ac27facd_240x180.jpg"
Kia K5 II//2016 г., 1.7 л., робот/седан, дизель/руль слева, 77 000 км/"https://im.mashina.kg/tachka/images//7/3/1/73183cde4f47c8632872849853024023_240x180.jpg"
Volkswagen Passat (North America)//2016 г., 1.8 л., робот/седан, бензин/руль слева, 130 000 км/"https://im.mashina.kg/tachka/images//a/8/8/a8864da4aae035ab8664df8df0dcfd47_240x180.jpg"
Ford Maverick//2002 г., 3 л., автомат/внедорожник 5 дв., бензин/руль слева, 240 000 км/"https://im.mashina.kg/tachka/images//7/9/d/79dc3b0fbf2e2bd45d6f2ba2721c4ef5_240x180.jpg"
Mercedes-Benz E-класс//2000 г., 4.3 л., автомат/седан, бензин/руль слева/"https://im.mashina.kg/tachka/images//5/2/4/524ca3bf3b3664070395b51e7b0e3ac8_240x180.jpg"
Honda Odyssey//2002 г., 2.3 л., автомат/минивэн, бензин/руль справа/"https://im.mashina.kg/tachka/images//0/3/d/03dd4b11791a8d05218e2719dbdf611d_240x180.jpg"
Hyundai Sonata//2015 г., 2.4 л., автомат/седан, бензин/руль слева, 54 000 км/"https://im.mashina.kg/tachka/images//a/f/f/aff3b05d625a1207e23e8f0c4213d6fe_240x180.jpg"
Lexus LX//2005 г., 4.7 л., автомат/внедорожник 5 дв., бензин/руль слева, 200 000 км/"https://im.mashina.kg/tachka/images//0/3/5/035736730f379019a62c45cd490883fc_240x180.jpg"
Toyota Kluger//2005 г., 3 л., автомат/внедорожник 5 дв., бензин/руль справа, 200 000 км/"https://im.mashina.kg/tachka/images//8/d/e/8de4abd7c4275e0b1eed4a346d7363fa_240x180.jpg"
Lexus ES//2013 г., 3.5 л., автомат/седан, бензин/руль слева/"https://im.mashina.kg/tachka/images//9/3/0/930ac7b1a129a18ac6120af9ea3baad5_240x180.jpg"
Mazda 6//2003 г., 1.8 л., механика/седан, бензин/руль слева, 240 000 км/"https://im.mashina.kg/tachka/images//f/3/1/f31c9511ef0db78d5ac76268606a6f8b_240x180.jpg"
ВАЗ (Lada) 2121 (4x4) Нива//2021 г., 1.7 л., механика/внедорожник 3 дв., бензин/руль слева   новый/"https://im.mashina.kg/tachka/images//4/e/c/4ec3243abffbbbbd286ae2231db1ad36_240x180.jpg"
Renault Duster//2021 г., 1.3 л., вариатор/внедорожник 5 дв., бензин/руль слева   новый/"https://im.mashina.kg/tachka/images//4/b/3/4b30307c5c56d9b9557415cd8292316e_240x180.jpg"
Toyota Land Cruiser Prado//2003 г., 2.7 л., механика/внедорожник 5 дв., бензин/руль слева, 500 000 км/"https://im.mashina.kg/tachka/images//c/f/5/cf5b06636f4306f3609bee85615d0536_240x180.jpg"
Lexus GS//2002 г., 3 л., автомат/седан, бензин/руль справа, 185 000 км/"https://im.mashina.kg/tachka/images//a/e/2/ae261b65037427dfb0cc33b1ac27facd_240x180.jpg"
Kia K5 II//2016 г., 1.7 л., робот/седан, дизель/руль слева, 77 000 км/"https://im.mashina.kg/tachka/images//7/3/1/73183cde4f47c8632872849853024023_240x180.jpg"
Volkswagen Passat (North America)//2016 г., 1.8 л., робот/седан, бензин/руль слева, 130 000 км/"https://im.mashina.kg/tachka/images//a/8/8/a8864da4aae035ab8664df8df0dcfd47_240x180.jpg"
Ford Maverick//2002 г., 3 л., автомат/внедорожник 5 дв., бензин/руль слева, 240 000 км/"https://im.mashina.kg/tachka/images//7/9/d/79dc3b0fbf2e2bd45d6f2ba2721c4ef5_240x180.jpg"
Mercedes-Benz E-класс//2000 г., 4.3 л., автомат/седан, бензин/руль слева/"https://im.mashina.kg/tachka/images//5/2/4/524ca3bf3b3664070395b51e7b0e3ac8_240x180.jpg"
Honda Odyssey//2002 г., 2.3 л., автомат/минивэн, бензин/руль справа/"https://im.mashina.kg/tachka/images//0/3/d/03dd4b11791a8d05218e2719dbdf611d_240x180.jpg"
Hyundai Sonata//2015 г., 2.4 л., автомат/седан, бензин/руль слева, 54 000 км/"https://im.mashina.kg/tachka/images//a/f/f/aff3b05d625a1207e23e8f0c4213d6fe_240x180.jpg"
Lexus LX//2005 г., 4.7 л., автомат/внедорожник 5 дв., бензин/руль слева, 200 000 км/"https://im.mashina.kg/tachka/images//0/3/5/035736730f379019a62c45cd490883fc_240x180.jpg"
Toyota Kluger//2005 г., 3 л., автомат/внедорожник 5 дв., бензин/руль справа, 200 000 км/"https://im.mashina.kg/tachka/images//8/d/e/8de4abd7c4275e0b1eed4a346d7363fa_240x180.jpg"
Lexus ES//2013 г., 3.5 л., автомат/седан, бензин/руль слева/"https://im.mashina.kg/tachka/images//9/3/0/930ac7b1a129a18ac6120af9ea3baad5_240x180.jpg"
Mazda 6//2003 г., 1.8 л., механика/седан, бензин/руль слева, 240 000 км/"https://im.mashina.kg/tachka/images//f/3/1/f31c9511ef0db78d5ac76268606a6f8b_240x180.jpg"
ВАЗ (Lada) 2121 (4x4) Нива//2021 г., 1.7 л., механика/внедорожник 3 дв., бензин/руль слева   новый/"https://im.mashina.kg/tachka/images//4/e/c/4ec3243abffbbbbd286ae2231db1ad36_240x180.jpg"
Renault Duster//2021 г., 1.3 л., вариатор/внедорожник 5 дв., бензин/руль слева   новый/"https://im.mashina.kg/tachka/images//4/b/3/4b30307c5c56d9b9557415cd8292316e_240x180.jpg"
Toyota Land Cruiser Prado//2003 г., 2.7 л., механика/внедорожник 5 дв., бензин/руль слева, 500 000 км/"https://im.mashina.kg/tachka/images//c/f/5/cf5b06636f4306f3609bee85615d0536_240x180.jpg"
